canvas_course_id,course_name,instance_name,start_date,end_date,user_name,user_email,user_role
50304,Innovation Semester - September 2025,TICT-V3SE6-25_SEP25,2025-09-01 00:00:00+02:00,2026-01-30 23:59:59+01:00,John Doe,john.doe@student.hu.nl,STUDENT
50304,Innovation Semester - September 2025,TICT-V3SE6-25_SEP25,2025-09-01 00:00:00+02:00,2026-01-30 23:59:59+01:00,Jane Doe,jane.doe@hu.nl,TEACHER
50304,Innovation Semester - September 2025,TICT-V3SE6-25_SEP25,2025-09-01 00:00:00+02:00,2026-01-30 23:59:59+01:00,Lisa Vermeer,lisa.vermeer@student.hu.nl,STUDENT
50304,Innovation Semester - September 2025,TICT-V3SE6-25_SEP25,2025-09-01 00:00:00+02:00,2026-01-30 23:59:59+01:00,Sven Bakker,sven.bakker@student.hu.nl,STUDENT
50304,Innovation Semester - September 2025,TICT-V3SE6-25_SEP25,2025-09-01 00:00:00+02:00,2026-01-30 23:59:59+01:00,Anouk Janssen,anouk.janssen@student.hu.nl,STUDENT
9999,Test cursus - September 2010,TEST-9999_SEP25,2010-09-01 00:00:00+02:00,2011-01-30 23:59:59+01:00,Test User,test.user@student.hu.nl,STUDENT
9999,Test cursus - September 2010,TEST-9999_SEP25,2010-09-01 00:00:00+02:00,2011-01-30 23:59:59+01:00,John Doe,john.doe@student.hu.nl,STUDENT
9999,Test cursus - September 2010,TEST-9999_SEP25,2010-09-01 00:00:00+02:00,2011-01-30 23:59:59+01:00,Maria Koster,maria.koster@hu.nl,TEACHER
50210,Data Engineering - February 2025,TICT-DE4-25_FEB25,2025-02-03 00:00:00+01:00,2025-06-27 23:59:59+02:00,Noah Visser,noah.visser@student.hu.nl,STUDENT
50210,Data Engineering - February 2025,TICT-DE4-25_FEB25,2025-02-03 00:00:00+01:00,2025-06-27 23:59:59+02:00,Emma Blom,emma.blom@student.hu.nl,STUDENT
50210,Data Engineering - February 2025,TICT-DE4-25_FEB25,2025-02-03 00:00:00+01:00,2025-06-27 23:59:59+02:00,Tom Jansen,tom.jansen@student.hu.nl,STUDENT
50210,Data Engineering - February 2025,TICT-DE4-25_FEB25,2025-02-03 00:00:00+01:00,2025-06-27 23:59:59+02:00,Lisa Peeters,lisa.peeters@hu.nl,TEACHER
50777,Software Security - September 2025,TICT-SS8-25_SEP25,2025-09-01 00:00:00+02:00,2026-01-30 23:59:59+01:00,Robin de Vries,robin.devries@student.hu.nl,STUDENT
50777,Software Security - September 2025,TICT-SS8-25_SEP25,2025-09-01 00:00:00+02:00,2026-01-30 23:59:59+01:00,Nina de Groot,nina.degroot@student.hu.nl,STUDENT
50777,Software Security - September 2025,TICT-SS8-25_SEP25,2025-09-01 00:00:00+02:00,2026-01-30 23:59:59+01:00,Bas Hendriks,bas.hendriks@hu.nl,TEACHER
50777,Software Security - September 2025,TICT-SS8-25_SEP25,2025-09-01 00:00:00+02:00,2026-01-30 23:59:59+01:00,Eva de Boer,eva.deboer@student.hu.nl,STUDENT
50150,Web Development - February 2025,TICT-WD4-25_FEB25,2025-02-03 00:00:00+01:00,2025-06-27 23:59:59+02:00,Jesse Meijer,jesse.meijer@student.hu.nl,STUDENT
50150,Web Development - February 2025,TICT-WD4-25_FEB25,2025-02-03 00:00:00+01:00,2025-06-27 23:59:59+02:00,Sanne Kuipers,sanne.kuipers@student.hu.nl,STUDENT
50150,Web Development - February 2025,TICT-WD4-25_FEB25,2025-02-03 00:00:00+01:00,2025-06-27 23:59:59+02:00,Tim Peters,tim.peters@hu.nl,TEACHER
50150,Web Development - February 2025,TICT-WD4-25_FEB25,2025-02-03 00:00:00+01:00,2025-06-27 23:59:59+02:00,Kim Vos,kim.vos@student.hu.nl,STUDENT
50890,Applied AI - September 2025,TICT-AI7-25_SEP25,2025-09-01 00:00:00+02:00,2026-01-30 23:59:59+01:00,Daan Willems,daan.willems@student.hu.nl,STUDENT
50890,Applied AI - September 2025,TICT-AI7-25_SEP25,2025-09-01 00:00:00+02:00,2026-01-30 23:59:59+01:00,Mila van Leeuwen,mila.vanleeuwen@student.hu.nl,STUDENT
50890,Applied AI - September 2025,TICT-AI7-25_SEP25,2025-09-01 00:00:00+02:00,2026-01-30 23:59:59+01:00,Lisa Peeters,lisa.peeters@hu.nl,TEACHER
50555,Mobile App Design - February 2025,TICT-MAD4-25_FEB25,2025-02-03 00:00:00+01:00,2025-06-27 23:59:59+02:00,Tom Jansen,tom.jansen@student.hu.nl,STUDENT
50555,Mobile App Design - February 2025,TICT-MAD4-25_FEB25,2025-02-03 00:00:00+01:00,2025-06-27 23:59:59+02:00,Emma Blom,emma.blom@student.hu.nl,STUDENT
